"","unique_id","Plate","Well.ID","beadset","secondary","Median.BL2.H.of.1_mean","Median.BL2.H.of.1_median","Median.BL2.H.of.1_sd","Median.BL2.H.of.2_mean","Median.BL2.H.of.2_median","Median.BL2.H.of.2_sd","Median.BL2.H.of.3_mean","Median.BL2.H.of.3_median","Median.BL2.H.of.3_sd","Median.BL2.H.of.4_mean","Median.BL2.H.of.4_median","Median.BL2.H.of.4_sd","Median.BL2.H.of.5_mean","Median.BL2.H.of.5_median","Median.BL2.H.of.5_sd","Median.BL2.H.of.6_mean","Median.BL2.H.of.6_median","Median.BL2.H.of.6_sd","Median.BL2.H.of.7_mean","Median.BL2.H.of.7_median","Median.BL2.H.of.7_sd","Median.BL2.H.of.8_mean","Median.BL2.H.of.8_median","Median.BL2.H.of.8_sd","Median.BL2.H.of.9_mean","Median.BL2.H.of.9_median","Median.BL2.H.of.9_sd","Median.BL2.H.of.10_mean","Median.BL2.H.of.10_median","Median.BL2.H.of.10_sd","Median.BL2.H.of.11_mean","Median.BL2.H.of.11_median","Median.BL2.H.of.11_sd","Median.BL2.H.of.12_mean","Median.BL2.H.of.12_median","Median.BL2.H.of.12_sd","Median.BL2.H.of.13_mean","Median.BL2.H.of.13_median","Median.BL2.H.of.13_sd","Median.BL2.H.of.14_mean","Median.BL2.H.of.14_median","Median.BL2.H.of.14_sd","Median.BL2.H.of.15_mean","Median.BL2.H.of.15_median","Median.BL2.H.of.15_sd","Median.BL2.H.of.16_mean","Median.BL2.H.of.16_median","Median.BL2.H.of.16_sd","Median.BL2.H.of.17_mean","Median.BL2.H.of.17_median","Median.BL2.H.of.17_sd","Median.BL2.H.of.18_mean","Median.BL2.H.of.18_median","Median.BL2.H.of.18_sd","Median.BL2.H.of.19_mean","Median.BL2.H.of.19_median","Median.BL2.H.of.19_sd","Median.BL2.H.of.20_mean","Median.BL2.H.of.20_median","Median.BL2.H.of.20_sd","Median.BL2.H.of.21_mean","Median.BL2.H.of.21_median","Median.BL2.H.of.21_sd","Median.BL2.H.of.22_mean","Median.BL2.H.of.22_median","Median.BL2.H.of.22_sd","Median.BL2.H.of.23_mean","Median.BL2.H.of.23_median","Median.BL2.H.of.23_sd","Median.BL2.H.of.24_mean","Median.BL2.H.of.24_median","Median.BL2.H.of.24_sd","Median.BL2.H.of.33_mean","Median.BL2.H.of.33_median","Median.BL2.H.of.33_sd","Median.BL2.H.of.54_mean","Median.BL2.H.of.54_median","Median.BL2.H.of.54_sd","Median.BL2.H.of.60_mean","Median.BL2.H.of.60_median","Median.BL2.H.of.60_sd"
"232","Nasal_32",4,"C16","2","IgA",7093.75,7093.75,365.220652482852,4639,4639,132.936074863071,5530.75,5530.75,41.365746699413,4780,4780,384.666088965482,6256,6256,712.76363543604,5153,5153,178.19090885901,5018.75,5018.75,327.036886298778,4932.75,4932.75,703.217693890022,4738.5,4738.5,143.542676580869,5124.5,5124.5,123.743686707646,5092.25,5092.25,92.984541726031,5426.25,5426.25,419.667874634216,3971.5,3971.5,313.248304065641,6166.5,6166.5,142.128463018496,5126,5126,130.107647738325,6585.25,6585.25,570.281619026951,5577,5577,507.702668891941,5083.75,5083.75,289.560226895891,4856.5,4856.5,123.743686707646,5125,5125,684.479364188578,144542.75,144542.75,2382.59629920807,104425.5,104425.5,294.86352775479,15042.75,15042.75,1316.98637995994,156748.5,156748.5,22959.050078346,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Nasal_33",1,"C17","1","IgM",3184.5,3184.5,194.454364826301,2336.75,2336.75,94.3987552884041,3511.25,3511.25,20.1525432638166,2768.5,2768.5,176.776695296637,3927.25,3927.25,135.410948597224,3061.5,3061.5,3.53553390593274,2382.5,2382.5,125.157900270019,3478,3478,110.308657865101,2696,2696,145.663996924429,3128.25,3128.25,158.038365595193,5493.75,5493.75,165.816540188245,3051.25,3051.25,20.8596500450032,2888.75,2888.75,35.0017856687341,2514.25,2514.25,240.769858994019,2914,2914,90.5096679918781,3218.75,3218.75,71.7713382904346,3806.5,3806.5,167.584307141212,2864,2864,156.977705423414,3665.5,3665.5,17.6776695296637,3084.75,3084.75,32.1733585439879,3619,3619,8.48528137423857,2972.25,2972.25,106.419570568575,6706.25,6706.25,79.5495128834866,4568.75,4568.75,30.0520382004283,NA,NA,NA,3584.75,3584.75,36.4159992311072,NA,NA,NA
"234","Nasal_33",1,"C18","1","IgM",3184.5,3184.5,194.454364826301,2336.75,2336.75,94.3987552884041,3511.25,3511.25,20.1525432638166,2768.5,2768.5,176.776695296637,3927.25,3927.25,135.410948597224,3061.5,3061.5,3.53553390593274,2382.5,2382.5,125.157900270019,3478,3478,110.308657865101,2696,2696,145.663996924429,3128.25,3128.25,158.038365595193,5493.75,5493.75,165.816540188245,3051.25,3051.25,20.8596500450032,2888.75,2888.75,35.0017856687341,2514.25,2514.25,240.769858994019,2914,2914,90.5096679918781,3218.75,3218.75,71.7713382904346,3806.5,3806.5,167.584307141212,2864,2864,156.977705423414,3665.5,3665.5,17.6776695296637,3084.75,3084.75,32.1733585439879,3619,3619,8.48528137423857,2972.25,2972.25,106.419570568575,6706.25,6706.25,79.5495128834866,4568.75,4568.75,30.0520382004283,NA,NA,NA,3584.75,3584.75,36.4159992311072,NA,NA,NA
"235","Nasal_33",2,"C17","1","IgA",8494.25,8494.25,439.466864507439,12700.5,12700.5,443.355951803965,1288372.75,1288372.75,32440.2913538858,33137,33137,2538.51334445971,12161.25,12161.25,1191.12137290874,12457.75,12457.75,1343.85643764503,5581.75,5581.75,420.374981415402,8587.25,8587.25,665.741034487134,11790,11790,864.084486609961,14245.25,14245.25,2070.7622087048,6903.5,6903.5,470.226009489054,12927.75,12927.75,469.872456098461,6533,6533,749.53318805774,5298,5298,463.862048458375,11876.25,11876.25,2012.07234586632,25814.25,25814.25,1821.86062172714,8478.5,8478.5,437.699097554473,8776,8776,1319.4612536941,35759.5,35759.5,1410.67802846716,6516,6516,441.234631460406,6564.75,6564.75,793.020255100713,7183.25,7183.25,594.323249587293,42888.5,42888.5,7035.00536602496,2531958,2531958,36926.5303271239,NA,NA,NA,697022.25,697022.25,40622.9310257766,NA,NA,NA
"236","Nasal_33",2,"C18","1","IgA",8494.25,8494.25,439.466864507439,12700.5,12700.5,443.355951803965,1288372.75,1288372.75,32440.2913538858,33137,33137,2538.51334445971,12161.25,12161.25,1191.12137290874,12457.75,12457.75,1343.85643764503,5581.75,5581.75,420.374981415402,8587.25,8587.25,665.741034487134,11790,11790,864.084486609961,14245.25,14245.25,2070.7622087048,6903.5,6903.5,470.226009489054,12927.75,12927.75,469.872456098461,6533,6533,749.53318805774,5298,5298,463.862048458375,11876.25,11876.25,2012.07234586632,25814.25,25814.25,1821.86062172714,8478.5,8478.5,437.699097554473,8776,8776,1319.4612536941,35759.5,35759.5,1410.67802846716,6516,6516,441.234631460406,6564.75,6564.75,793.020255100713,7183.25,7183.25,594.323249587293,42888.5,42888.5,7035.00536602496,2531958,2531958,36926.5303271239,NA,NA,NA,697022.25,697022.25,40622.9310257766,NA,NA,NA
"237","Nasal_33",3,"C17","2","IgM",2530.25,2530.25,80.9637264458597,3010,3010,134.350288425444,2708.75,2708.75,247.133820024698,2772.5,2772.5,45.9619407771256,4164,4164,32.5269119345812,2762.75,2762.75,123.390133317053,2956,2956,162.634559672906,2853.5,2853.5,22.6274169979695,3012,3012,101.823376490863,3036,3036,63.6396103067893,3616.5,3616.5,232.638131010374,2872,2872,111.722871427475,2324.5,2324.5,26.1629509039023,2719,2719,152.735064736294,2409.5,2409.5,67.175144212722,4064.25,4064.25,199.050558904013,3375,3375,5.65685424949238,2596,2596,142.835569799683,2512.5,2512.5,214.253354699524,2936,2936,79.1959594928933,2921.75,2921.75,64.7002704785691,2704.5,2704.5,150.613744392735,5350,5350,53.7401153701776,3747.75,3747.75,77.428192539927,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Nasal_33",3,"C18","2","IgM",2530.25,2530.25,80.9637264458597,3010,3010,134.350288425444,2708.75,2708.75,247.133820024698,2772.5,2772.5,45.9619407771256,4164,4164,32.5269119345812,2762.75,2762.75,123.390133317053,2956,2956,162.634559672906,2853.5,2853.5,22.6274169979695,3012,3012,101.823376490863,3036,3036,63.6396103067893,3616.5,3616.5,232.638131010374,2872,2872,111.722871427475,2324.5,2324.5,26.1629509039023,2719,2719,152.735064736294,2409.5,2409.5,67.175144212722,4064.25,4064.25,199.050558904013,3375,3375,5.65685424949238,2596,2596,142.835569799683,2512.5,2512.5,214.253354699524,2936,2936,79.1959594928933,2921.75,2921.75,64.7002704785691,2704.5,2704.5,150.613744392735,5350,5350,53.7401153701776,3747.75,3747.75,77.428192539927,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Nasal_33",4,"C17","2","IgA",5623,5623,605.283404695685,6447,6447,1189.35360595577,7696.25,7696.25,541.997347779489,11115,11115,1453.81154211954,8160,8160,840.042856049618,7795,7795,1080.45916165304,6774.5,6774.5,1050.05357006202,6195.5,6195.5,1014.6982310027,6135,6135,944.694659665228,6499.25,6499.25,1225.06249840569,7403.25,7403.25,960.604562241925,5251.75,5251.75,495.328300221177,4633.75,4633.75,545.532881685421,7338,7338,1094.60129727678,11153.25,11153.25,366.634866045225,9031.5,9031.5,1379.56533009495,7410,7410,1013.99112422151,9290.25,9290.25,609.172491992211,5036,5036,43.8406204335659,7425.75,7425.75,795.141575444273,6294.25,6294.25,1111.21830663466,7042,7042,357.796031280393,44990.5,44990.5,7549.77910272877,2465463,2465463,70526.8303555462,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Nasal_33",4,"C18","2","IgA",5623,5623,605.283404695685,6447,6447,1189.35360595577,7696.25,7696.25,541.997347779489,11115,11115,1453.81154211954,8160,8160,840.042856049618,7795,7795,1080.45916165304,6774.5,6774.5,1050.05357006202,6195.5,6195.5,1014.6982310027,6135,6135,944.694659665228,6499.25,6499.25,1225.06249840569,7403.25,7403.25,960.604562241925,5251.75,5251.75,495.328300221177,4633.75,4633.75,545.532881685421,7338,7338,1094.60129727678,11153.25,11153.25,366.634866045225,9031.5,9031.5,1379.56533009495,7410,7410,1013.99112422151,9290.25,9290.25,609.172491992211,5036,5036,43.8406204335659,7425.75,7425.75,795.141575444273,6294.25,6294.25,1111.21830663466,7042,7042,357.796031280393,44990.5,44990.5,7549.77910272877,2465463,2465463,70526.8303555462,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Nasal_34",1,"C19","1","IgM",5441.5,5441.5,27.5771644662754,9834.5,9834.5,82.7314933988261,8431,8431,830.143361113007,10293.25,10293.25,30.0520382004283,6427.5,6427.5,168.998520703585,5565.25,5565.25,260.568848867243,3914.25,3914.25,137.532268940783,6939,6939,219.20310216783,5647.75,5647.75,143.896229971462,5250.75,5250.75,213.899801308931,19220.25,19220.25,1906.00632868834,22796,22796,2508.81485964987,5440,5440,540.229580826522,5999.75,5999.75,204.000306372319,7232.75,7232.75,439.466864507439,10939.5,10939.5,327.390439689371,6002,6002,408.707719525824,4836.75,4836.75,17.3241161390704,13380.5,13380.5,596.09101654026,5650.25,5650.25,29.3449314192417,5349.5,5349.5,108.894444302728,5242.25,5242.25,187.029743623842,209618,209618,17758.9868095001,157045.25,157045.25,12563.519734732,NA,NA,NA,160477.75,160477.75,7376.89149472866,NA,NA,NA
"242","Nasal_34",1,"C20","1","IgM",5441.5,5441.5,27.5771644662754,9834.5,9834.5,82.7314933988261,8431,8431,830.143361113007,10293.25,10293.25,30.0520382004283,6427.5,6427.5,168.998520703585,5565.25,5565.25,260.568848867243,3914.25,3914.25,137.532268940783,6939,6939,219.20310216783,5647.75,5647.75,143.896229971462,5250.75,5250.75,213.899801308931,19220.25,19220.25,1906.00632868834,22796,22796,2508.81485964987,5440,5440,540.229580826522,5999.75,5999.75,204.000306372319,7232.75,7232.75,439.466864507439,10939.5,10939.5,327.390439689371,6002,6002,408.707719525824,4836.75,4836.75,17.3241161390704,13380.5,13380.5,596.09101654026,5650.25,5650.25,29.3449314192417,5349.5,5349.5,108.894444302728,5242.25,5242.25,187.029743623842,209618,209618,17758.9868095001,157045.25,157045.25,12563.519734732,NA,NA,NA,160477.75,160477.75,7376.89149472866,NA,NA,NA
"243","Nasal_34",2,"C19","1","IgA",7793,7793,281.428498912246,12273.75,12273.75,32.8804653251745,1267335.25,1267335.25,34862.1320794498,30505.25,30505.25,587.959288556614,11791.75,11791.75,547.654202028981,12126.5,12126.5,563.564104605678,5044.25,5044.25,166.523646969432,7995,7995,432.749350086167,11610.75,11610.75,843.931943346145,12461.75,12461.75,897.672058716322,6075,6075,213.546247918337,12890,12890,1760.6958851545,5734,5734,572.049385979917,5123.5,5123.5,332.340187157677,11397.75,11397.75,966.968523272604,25351,25351,1300.36937060206,8222,8222,578.413347010596,8057.25,8057.25,619.779093710009,37079.25,37079.25,243.598286118766,6126,6126,231.931024229188,6231.5,6231.5,109.601551083915,6702.5,6702.5,439.113311116846,36907.75,36907.75,1698.11693501949,2523508.5,2523508.5,34562.6723576173,NA,NA,NA,692340.25,692340.25,12494.2232701757,NA,NA,NA
"244","Nasal_34",2,"C20","1","IgA",7793,7793,281.428498912246,12273.75,12273.75,32.8804653251745,1267335.25,1267335.25,34862.1320794498,30505.25,30505.25,587.959288556614,11791.75,11791.75,547.654202028981,12126.5,12126.5,563.564104605678,5044.25,5044.25,166.523646969432,7995,7995,432.749350086167,11610.75,11610.75,843.931943346145,12461.75,12461.75,897.672058716322,6075,6075,213.546247918337,12890,12890,1760.6958851545,5734,5734,572.049385979917,5123.5,5123.5,332.340187157677,11397.75,11397.75,966.968523272604,25351,25351,1300.36937060206,8222,8222,578.413347010596,8057.25,8057.25,619.779093710009,37079.25,37079.25,243.598286118766,6126,6126,231.931024229188,6231.5,6231.5,109.601551083915,6702.5,6702.5,439.113311116846,36907.75,36907.75,1698.11693501949,2523508.5,2523508.5,34562.6723576173,NA,NA,NA,692340.25,692340.25,12494.2232701757,NA,NA,NA
"245","Nasal_34",3,"C19","2","IgM",4610.75,4610.75,8.1317279836453,4174.5,4174.5,98.2878425849301,4419.75,4419.75,160.86679271994,3886,3886,178.19090885901,13311.75,13311.75,179.25156903079,4350,4350,74.2462120245875,4591.5,4591.5,106.773123959169,4335.75,4335.75,195.51502499808,4360.75,4360.75,207.535840278252,4400.75,4400.75,69.6500179468749,5135,5135,60.8111831820431,4132,4132,9.89949493661167,3234,3234,14.142135623731,12821.75,12821.75,140.36069606553,5432.5,5432.5,205.768073325285,8945.5,8945.5,463.154941677189,4842.75,4842.75,124.097240098239,4799.75,4799.75,249.962247149445,5039.5,5039.5,168.998520703585,4672.5,4672.5,7.77817459305202,7919.5,7919.5,799.737769521985,4121.5,4121.5,137.885822331377,217945.25,217945.25,7879.64441615229,141616,141616,7754.13296249168,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Nasal_34",3,"C20","2","IgM",4610.75,4610.75,8.1317279836453,4174.5,4174.5,98.2878425849301,4419.75,4419.75,160.86679271994,3886,3886,178.19090885901,13311.75,13311.75,179.25156903079,4350,4350,74.2462120245875,4591.5,4591.5,106.773123959169,4335.75,4335.75,195.51502499808,4360.75,4360.75,207.535840278252,4400.75,4400.75,69.6500179468749,5135,5135,60.8111831820431,4132,4132,9.89949493661167,3234,3234,14.142135623731,12821.75,12821.75,140.36069606553,5432.5,5432.5,205.768073325285,8945.5,8945.5,463.154941677189,4842.75,4842.75,124.097240098239,4799.75,4799.75,249.962247149445,5039.5,5039.5,168.998520703585,4672.5,4672.5,7.77817459305202,7919.5,7919.5,799.737769521985,4121.5,4121.5,137.885822331377,217945.25,217945.25,7879.64441615229,141616,141616,7754.13296249168,NA,NA,NA,NA,NA,NA,NA,NA,NA
